Settore Merceologico Principale,Settore Merceologico Secondario,Insegna,Tipo via,Via,Civico,Codice via,ZD,Accesso,Isolato,Settore Storico Cf Preval,Superficie Vendita,Superficie Altri Usi
non alimentare,NP,NP,CSO,ITALIA,34,526,1,NP,NP,speciale panificatori,0.0,0.0
non alimentare,NP,NP,CSO,LODI,104,4068,4,NP,NP,NP,16.0,5.0
non alimentare,NP,NP,CSO,LODI,26,4068,5,NP,NP,speciale panificatori,0.0,0.0
non alimentare,NP,NP,LGO,SCALABRINI GIOVANNI BATTISTA,2,5392,6,NP,NP,NP,0.0,0.0
non alimentare,NP,NP,PLE,STAZIONE DI PORTA GENOVA,2,5120,6,NP,NP,speciale panificatori,36.0,0.0
non alimentare,NP,NP,PZA,ASPROMONTE,1,2246,3,esterno,41,prod. agricolo alim/non alim,3.0,37.0
non alimentare,NP,NP,PZA,BONOMELLI GEREMIA,10,4150,5,NP,NP,esercizio di vicinato,14.0,143.0
non alimentare,NP,NP,PZA,OBERDAN GUGLIELMO,2,2108,1,NP,NP,commercio al dettaglio,190.0,100.0
non alimentare,NP,NP,PZA,SANTA MARIA DELLE GRAZIE,1,6164,1,NP,NP,NP,0.0,0.0
tabella speciale monopolio,NP,NP,PZA,VIGILI DEL FUOCO,10,2710,3,esterno,91,articoli per fumatori,10.0,60.0
alimentare,NP,NP,VIA,ABBA GIUSEPPE CESARE,32,1295,9,NP,58,"frutta, verdura e funghi",0.0,0.0
non alimentare,NP,NP,VIA,AIRAGHI GAETANO,49,6330,7,NP,NP,produttore agricolo alimentare,0.0,0.0
non alimentare,NP,NP,VIA,ANELLI LUIGI,2,4023,1,NP,120,articoli regalo,0.0,0.0
non alimentare,NP,NP,VIA,ARCONATI COSTANZA,2,3211,4,NP,NP,NP,40.0,4.0
non alimentare,NP,NP,VIA,AUSONIO,23,5093,1,NP,NP,speciale panificatori,0.0,0.0
alimentare,NP,NP,VIA,CANONICA LUIGI,81,7121,8,NP,104,"frutta, verdura e funghi",0.0,0.0
alimentare,NP,NP,VIA,CASANOVA LUIGI,2,1197,2,NP,245,"frutta, verdura e funghi",0.0,0.0
non alimentare,NP,NP,VIA,CASORETTO,8,2420,3,NP,NP,NP,40.0,4.0
non alimentare,NP,NP,VIA,CESANA BRUNO,6,2374,2,NP,NP,commercio al dettaglio,28.0,0.0
non alimentare,NP,NP,VIA,CIVITALI MATTEO,21,6569,7,NP,280,NP,0.0,0.0
non alimentare,NP,NP,VIA,CONCILIO VATICANO II,3,7356,8,NP,NP,NP,25.0,0.0
non alimentare,NP,NP,VIA,CONTE ROSSO,21,2667,3,NP,NP,commercio al dettaglio,27.0,2.0
non alimentare,NP,NP,VIA,CORRENTI CESARE,26,555,1,NP,NP,commercio al dettaglio,4.0,72.0
non alimentare,NP,NP,VIA,D'ADDA CARLO,3,5272,6,NP,NP,commercio al dettaglio,29.0,23.0
non alimentare,NP,NP,VIA,DANTE ALIGHIERI,14,612,1,NP,NP,NP,40.0,4.0
non alimentare,NP,NP,VIA,DEGLI SCIPIONI,7,2174,3,NP,NP,speciale panificatori,0.0,0.0
non alimentare,NP,NP,VIA,DEI TRANSITI,25,2284,2,NP,NP,commercio al dettaglio,30.0,0.0
non alimentare,NP,NP,VIA,DELLA CHIESA ROSSA,25,5321,5,NP,32,fiori e piante,0.0,0.0
non alimentare,NP,NP,VIA,DELLA SPIGA,25,226,1,esterno,273,abbigliamento bambino,48.0,0.0
non alimentare,NP,NP,VIA,DELLA SPIGA,6,226,1,NP,NP,NP,40.0,4.0
non alimentare,NP,NP,VIA,DEL MELLA,5,6416,7,NP,NP,NP,0.0,0.0
alimentare,NP,NP,VIA,DUDOVICH MARCELLO,10,5437,5,NP,66,latteria,0.0,0.0
alimentare,NP,NP,VIA,FABRIANO,2,1642,9,NP,161,"frutta, verdura e funghi",0.0,0.0
non alimentare,NP,NP,VIA,FONTANA,20,3058,1,NP,NP,NP,176.0,0.0
non alimentare,NP,NP,VIA,GALLARATE,400,7420,8,NP,NP,NP,40.0,4.0
non alimentare,NP,NP,VIA,GIAMBELLINO,155,5136,6,NP,NP,panificatore,0.0,0.0
non alimentare,NP,NP,VIA,INGANNI ANGELO,29,6672,6,NP,NP,speciale panificatori,0.0,0.0
non alimentare,NP,NP,VIA,LAMBRATE,13,2421,3,esterno,1,accessori e ricambi auto-moto,27.0,170.0
non alimentare,NP,NP,VIA,LARGA,12,318,1,NP,NP,coltivatore diretto,0.0,0.0
non alimentare,NP,NP,VIA,LEONCAVALLO RUGGERO,10,2389,3,NP,NP,NP,0.0,0.0
non alimentare,NP,NP,VIA,LIVRAGHI GIOVANNI,14,2443,2,NP,NP,NP,40.0,4.0
non alimentare,NP,NP,VIA,LODOVICO IL MORO,77,5290,6,NP,NP,NP,0.0,0.0
alimentare,NP,NP,VIA,LOMAZZO PAOLO,10,7079,8,NP,72,"frutta, verdura e funghi",0.0,0.0
non alimentare,NP,NP,VIA,LORENTEGGIO,41,5132,6,NP,NP,NP,40.0,4.0
non alimentare,NP,NP,VIA,MAC MAHON,77,7221,8,NP,NP,speciale panificatori,0.0,0.0
non alimentare,NP,NP,VIA,MARCO POLO,13,1103,9,NP,NP,NP,40.0,4.0
non alimentare,NP,NP,VIA,MARGHERA,51,6280,7,NP,NP,panificatore,12.0,0.0
non alimentare,NP,NP,VIA,MAROCHETTI CARLO,7,4185,4,NP,NP,commercio al dettaglio,15.0,13.0
non alimentare,NP,NP,VIA,MASOLINO DA PANICALE,4,7264,8,NP,NP,NP,40.0,11.0
non alimentare,NP,NP,VIA,MELZI D'ERIL FRANCESCO,3,7118,1,NP,NP,impianto di panificazione,0.0,0.0
non alimentare,NP,NP,VIA,MENOTTI CIRO,14,3184,3,NP,NP,NP,0.0,0.0
non alimentare,NP,NP,VIA,MOLINO DELLE ARMI,19/21,591,1,esterno,217,fiori e piante,115.0,75.0
non alimentare,NP,NP,VIA,MONTEFELTRO,6,7411,8,esterno,188,articoli in gomma e plastica,100.0,0.0
alimentare,NP,NP,VIA,MURAT GIOACCHINO,60,1316,9,NP,20,"frutta, verdura e funghi",0.0,0.0
non alimentare,NP,NP,VIA,NEERA ANNA,46,5326,5,NP,NP,NP,115.0,10.0
non alimentare,NP,NP,VIA,PADOVA,60,2275,2,esterno,140,abbigliamento,36.0,0.0
non alimentare,NP,NP,VIA,PADOVA,94,2275,2,NP,NP,speciale panificatori,0.0,0.0
non alimentare,NP,NP,VIA,PADOVA,98,2275,2,NP,NP,NP,65.0,0.0
non alimentare,NP,NP,VIA,PIACENZA,12,4064,5,NP,NP,NP,0.0,0.0
non alimentare,NP,NP,VIA,POLLAK LEOPOLDO,3,6853,7,NP,129,prodotti per l' agricoltura,0.0,0.0
non alimentare,NP,NP,VIA,RIPAMONTI GIUSEPPE,204,4066,5,NP,NP,speciale panificatori,0.0,0.0
alimentare,NP,NP,VIA,ROCCA D'ANFO,4,1556,9,NP,91,"frutta, verdura e funghi",0.0,0.0
non alimentare,NP,NP,VIA,SARPI FRA' PAOLO,53,7210,1,NP,NP,NP,40.0,4.0
non alimentare,NP,NP,VIA,SASSOFERRATO,1,4109,1,esterno,192,apparecch. elettroniche,54.0,110.0
non alimentare,NP,NP,VIA,SETTEMBRINI LUIGI,34,2127,3,NP,NP,commercio al dettaglio,15.0,0.0
non alimentare,NP,NP,VIA,TADINO ALESSANDRO,15,2109,3,NP,NP,NP,240.0,0.0
non alimentare,NP,NP,VIA,TADINO ALESSANDRO,48,2109,3,NP,NP,NP,50.0,0.0
non alimentare,NP,NP,VIA,TIEPOLO GIAN BATTISTA,60,3126,3,NP,NP,speciale panificatori,0.0,0.0
non alimentare,NP,NP,VIA,TONALE,16,1213,2,NP,NP,NP,22.0,0.0
non alimentare,NP,NP,VIA,TRILUSSA,12,7367,8,esterno,63,"radio tv, elettrodom,app.radio",184.0,0.0
non alimentare,NP,NP,VIA,VERRI PIETRO,1,223,1,interno,363,armi e munizioni,182.0,0.0
non alimentare,NP,NP,VIA,WASHINGTON GIORGIO,88,6111,6,NP,NP,ottica,87.0,49.0
non alimentare,NP,NP,VIA,ZANTE,21,3364,4,esterno,59,merceria,46.0,0.0
non alimentare,NP,NP,VIA,ZANTE,30,3364,4,NP,NP,speciale panificatori,0.0,0.0
non alimentare,NP,NP,VLE,ARETUSA,34,6565,7,NP,NP,speciale panificatori,0.0,0.0
non alimentare,NP,NP,VLE,DELLE RIMEMBRANZE DI LAMBRATE,9,2664,3,interno,114,metalsiderurgici,50.0,0.0
non alimentare,NP,NP,VLE,ESPINASSE CARLO,14,7390,8,esterno,265,autoveicoli,86.0,160.0
alimentare,NP,NP,VLE,LUNIGIANA,20,1214,2,esterno,311,pasticceria - gelateria,41.0,0.0
non alimentare,NP,carlo zini,RIP,DI PTA TICINESE,63,5150,6,esterno,71,prod. x igiene persona-casa,39.0,0.0
non alimentare,NP,computer center,VIA,SANTA MONICA,3,1448,9,esterno,134,programmazione e sistemi informatici  -computer,72.0,10.0
non alimentare,NP,gavi camiceria,VIA,BELLINI GENTILE,2,5387,6,esterno,73,camiceria,39.0,0.0
non alimentare,NP,la commercialesettembrini,VIA,SETTEMBRINI LUIGI,36,2127,3,esterno,41,prodotti artigianato nazionale,107.0,13.0
alimentare,NP,produttore agricolo,CSO,MAGENTA,12,604,1,NP,291,"frutta, verdura e funghi",0.0,0.0
alimentare,NP,produttore agricolo,VIA,OXILIA NINO,9,2287,2,NP,329,vini - olii e liquori in recip,0.0,0.0
non alimentare,NP,produttore agricolo,VIA,RIPAMONTI GIUSEPPE,436,4066,5,NP,NP,fiori e piante,0.0,0.0
non alimentare,NP,produttore agricolo,VIA,RIPAMONTI GIUSEPPE,549,4066,5,NP,501,fiori e piante,0.0,0.0
alimentare,NP,produttore agricolo,VIA,SELVANESCO,25,4350,5,NP,202,"frutta, verdura e funghi",0.0,0.0
alimentare,NP,produttore agricolo,VLE,TROYA CARLO,23,5140,6,NP,29,"frutta, verdura e funghi",0.0,0.0
alimentare,NP,specialita  regionali,VIA,SAMMARTINI GIOVANNI BATTISTA,69,1202,2,esterno,141,panificio (con forno),18.0,0.0
alimentare,NP,NP,ALZ,NAVIGLIO GRANDE,2,5144,6,esterno,57,gelateria,14.0,0.0
alimentare,NP,NP,ALZ,NAVIGLIO PAVESE,2,5161,6,esterno,74,gelateria,25.0,7.0
alimentare,NP,NP,ALZ,NAVIGLIO PAVESE,2,5161,6,esterno,74,panificio (con forno),30.0,30.0
alimentare,NP,NP,ALZ,NAVIGLIO PAVESE,2,5161,6,NP,NP,bibite,3.0,0.0
alimentare,NP,NP,ALZ,NAVIGLIO PAVESE,34,5161,6,NP,NP,bevande in attivita' artigianale,4.0,24.0
alimentare,NP,NP,ALZ,NAVIGLIO PAVESE,6,5161,6,esterno,74,bibite e bevande analcoliche,17.0,18.0
alimentare,NP,NP,BST,DI PORTA VENEZIA,1,2106,1,esterno,18,latteria,32.0,45.0
alimentare,NP,NP,BST,DI PORTA VOLTA,9,1066,1,esterno,84,minimercati,30.0,20.0
alimentare,NP,NP,CSO,BUENOS AIRES,15,2129,3,esterno,105,"frutta, verdura e funghi",37.0,60.0
alimentare,NP,NP,CSO,COLOMBO CRISTOFORO,10,5114,6,esterno,48,minimercati,55.0,40.0
alimentare,NP,NP,CSO,COLOMBO CRISTOFORO,1,5114,6,esterno,55,macelleria,34.0,11.0
alimentare,NP,NP,CSO,DI PORTA NUOVA,32,1044,1,esterno,88,salumeria - rosticceria - cibi,17.0,16.0
alimentare,NP,NP,CSO,DI PORTA NUOVA,34,1044,1,esterno,88,panetteria,47.0,9.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,103,402,1,esterno,38,"frutta, verdura e funghi",24.0,10.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,128,402,1,NP,39,rosticceria,100.0,0.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,1,402,1,esterno,394,macelleria,28.0,1.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,25,402,1,esterno,327,bibite e bevande analcoliche,30.0,10.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,44,402,1,NP,270,minimercati,22.0,43.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,51,402,1,NP,NP,prodotti ittici,24.0,69.0
alimentare,NP,NP,CSO,DI PORTA ROMANA,57,402,1,esterno,115,panificio (con forno),30.0,90.0
