,Tipo via tmp,Nome via tmp,Civico tmp,ZD tmp,Isolato,Accesso,Info plus
0,CSO,ITALIA,34,1,,, 
1,CSO,LODI,104,4,,, 
2,CSO,LODI,26,5,,, 
3,CSO,SEMPIONE,41,6,,, 
4,LGO,SCALABRINI GIOVANNI BATTISTA,2,6,,, 
5,PLE,STAZIONE DI PORTA GENOVA,2,6,,, 
6,PZA,ASPROMONTE,1,3,041; , accesso esterno; , ang.lulli-7.4.08 tr.set.agrico; 
7,PZA,BONOMELLI GEREMIA,10,5,,, 
8,PZA,OBERDAN GUGLIELMO,2,1,,, 
9,PZA,SANTA MARIA DELLE GRAZIE,1,1,,, comm. elettronico; 
10,PZA,VIGILI DEL FUOCO,10,3,091; , accesso esterno; , ; 
11,VIA,ABBA GIUSEPPE CESARE,32,9,058; ,, 7.4.08 tras.set.agricoltura; 
12,VIA,AIRAGHI GAETANO,49,7,,, produttore agricolo; 
13,VIA,AIRAGHI GAETANO,49,7,,, 
14,VIA,ANELLI LUIGI,2,1,120; ,, ; 
15,VIA,ARCONATI COSTANZA,2,4,,, 
16,VIA,AUSONIO,23,1,,, 
17,VIA,BENGASI,2,1,,, 
18,VIA,BONCOMPAGNI CARLO,55,4,,, 
19,VIA,CANONICA LUIGI,81,8,104; ,, 7.4.08 tras.set.agricoltura; 
20,VIA,CASANOVA LUIGI,2,2,245; ,, 7.4.08 trasm.sett.agricoltura; 
21,VIA,CASORETTO,8,3,,, 
22,VIA,CESANA BRUNO,6,2,,, 
23,VIA,CIVITALI MATTEO,21,7,280; ,, ; 
24,VIA,CONCILIO VATICANO II,3,8,,, 
25,VIA,CONTE ROSSO,21,3,,, 
26,VIA,CONTE VERDE,1,7,059; , accesso esterno; , ; 
27,VIA,CORRENTI CESARE,26,1,,, 
28,VIA,D'ADDA CARLO,3,6,,, 
29,VIA,DANTE ALIGHIERI,14,1,,, 
30,VIA,DEGLI SCIPIONI,7,3,,, 
31,VIA,DEI TRANSITI,25,2,,, 
32,VIA,DELLA CHIESA ROSSA,25,5,032; ,, 7.4.08 tras.sett.agricoltura; 
33,VIA,DELLA SPIGA,25,1,273; , accesso esterno; , ; 
34,VIA,DELLA SPIGA,6,1,,, 
35,VIA,DEL MELLA,5,7,,, 
36,VIA,DUDOVICH MARCELLO,10,5,066; ,, 7.4.08 tras.sett.agricoltura; 
37,VIA,FABRIANO,2,9,161; ,, 7.4.08 tras.sett. agricoltura; 
38,VIA,FONTANA,20,1,,, 
39,VIA,GALLARATE,400,8,,, 
40,VIA,GIAMBELLINO,155,6,,, 
41,VIA,GOITO,9,1,249; , accesso esterno; , ; 
42,VIA,GOZZOLI,7,7,255; ,,.4.08 tras.sett.agricoltura num.097/a; 
43,VIA,GUIDO D'AREZZO,6,8,,, interno studio medico; 
44,VIA,IMBONATI CARLO,71,7,,, 
45,VIA,INGANNI ANGELO,29,6,,, 
46,VIA,LAMBRATE,13,3,001; , accesso esterno; , ; 
47,VIA,LARGA,12,1,,, 
48,VIA,LEONCAVALLO RUGGERO,10,3,,, 
49,VIA,LIVRAGHI GIOVANNI,14,2,,, 
50,VIA,LODOVICO IL MORO,77,6,,, 
51,VIA,LOMAZZO PAOLO,10,8,072; ,, 23.5.08 tras. sett.agricoltura; 
52,VIA,LORENTEGGIO,41,6,,, 
53,VIA,LORENTEGGIO,45,6,,, 
54,VIA,MAC MAHON,77,8,,, 
55,VIA,MARCO POLO,13,9,,, 
56,VIA,MARGHERA,51,7,,, 
57,VIA,MAROCHETTI CARLO,7,4,,, 
58,VIA,MASOLINO DA PANICALE,4,8,,, 
59,VIA,MELZI D'ERIL FRANCESCO,3,1,,, 
60,VIA,MENOTTI CIRO,14,3,,, 
